segno	rtt	rto
551	118.832	148.306
552	118.741	148.306
553	121.668	148.306
554	120.327	148.306
555	119.845	148.306
556	121.331	148.306
557	119.588	148.306
558	122.312	148.306
559	121.688	148.306
560	121.85	148.306
561	122.513	148.306
562	123.026	148.306
563	121.648	148.306
564	124.177	148.306
565	123.063	148.306
566	121.948	148.306
567	123.387	148.306
568	122.521	148.306
569	123.61	148.306
570	123.971	148.306
571	122.442	148.306
572	125.514	148.306
573	126.638	148.306
574	126.382	148.306
575	125.766	148.306
576	125.311	148.306
577	125.801	148.306
578	125.878	148.306
579	126.384	148.306
580	126.618	148.306
581	125.64	148.133
582	125.714	148.133
583	126.938	148.133
584	125.866	148.133
585	126.573	148.133
586	125.295	148.133
587	124.82	148.133
588	126.599	148.133
589	127.761	148.133
590	125.287	148.133
591	127.776	148.133
592	124.476	148.133
593	126.385	148.133
594	127.691	148.133
595	126.739	148.133
596	128.361	148.133
597	124.918	148.133
598	125.112	148.133
599	126.978	148.133
600	125.929	148.133
601	125.925	148.133
602	126.442	148.133
603	125.362	148.133
604	125.246	148.133
605	125.582	148.133
606	126.669	148.133
607	124.092	148.133
608	124.848	148.133
609	124.974	156.912
610	125.695	156.912
611	128.357	156.912
612	125.718	156.912
613	126.232	156.912
615	124.25	156.912
616	126.231	156.912
617	130.047	156.912
618	128.225	156.912
620	124.246	156.912
621	124.562	156.912
622	124.737	156.912
623	127.38	156.912
624	124.931	156.912
625	122.839	156.912
626	124.295	156.912
627	122.481	156.912
628	123.04	156.912
629	122.572	156.912
630	123.524	156.912
631	126.196	156.912
632	123.185	156.912
633	123.314	156.912
634	123.518	156.912
635	114.521	156.912
636	106.995	156.912
637	107.988	156.912
638	107.16	156.912
639	109.522	156.912
640	110.33	156.912
641	109.818	160.44
642	109.008	160.44
643	108.821	160.44
644	110.608	160.44
645	110.53	160.44
646	109.394	160.44
647	110.332	160.44
648	108.107	160.44
649	110.041	160.44
650	109.79	160.44
651	108.137	160.44
652	108.499	160.44
653	105.483	160.44
654	106.862	160.44
655	109.01	160.44
656	108.508	160.44
657	109.167	160.44
658	105.45	160.44
659	108.129	160.44
660	109.298	160.44
661	110.115	160.44
662	109.433	160.44
663	111.317	160.44
664	112.706	160.44
665	112.179	160.44
666	112.015	160.44
667	93.5114	320.881
668	93.6396	153.137
669	91.8973	153.137
670	93.406	153.137
671	93.9149	153.137
672	92.123	153.137
673	92.8065	153.137
674	92.7337	153.137
675	94.3897	153.137
676	93.7985	153.137
677	94.6347	153.137
678	93.5619	153.137
679	93.3727	153.137
680	94.041	153.137
681	96.089	153.137
682	97.4093	153.137
683	95.1927	153.137
684	95.5097	153.137
685	96.6924	153.137
686	94.5968	153.137
687	94.2472	153.137
688	91.0122	153.137
689	91.5742	153.137
690	89.9564	153.137
691	91.3671	153.137
692	92.9059	153.137
693	89.6472	153.137
694	89.0483	153.137
695	88.6888	153.137
696	91.5796	153.137
697	91.414	153.137
698	91.4585	153.137
699	90.702	153.137
700	91.4426	153.137
701	91.2602	153.137
702	90.8579	153.137
703	90.1253	153.137
704	89.4491	153.137
705	91.5914	153.137
706	89.8465	159.373
707	91.5362	159.373
708	90.2268	159.373
709	89.2497	159.373
710	91.0671	159.373
711	92.1352	159.373
712	91.7037	159.373
713	92.5199	159.373
714	93.7628	159.373
715	92.6764	159.373
716	93.0996	159.373
717	96.6092	159.373
718	94.9682	159.373
719	94.3661	159.373
720	96.5736	159.373
721	95.2831	159.373
722	93.6203	159.373
723	94.2351	159.373
724	94.7878	159.373
725	98.1347	159.373
726	97.1009	159.373
727	97.9678	159.373
728	98.8203	159.373
729	99.9385	159.373
730	99.5457	159.373
731	99.4282	159.373
732	101.019	159.373
733	99.5298	159.373
734	100.7	159.373
735	100.704	159.373
736	99.0187	159.373
737	101.052	159.373
738	100.108	159.373
739	100.481	159.373
740	101.057	159.373
741	98.5229	159.373
742	100.451	159.373
743	99.7611	159.373
744	100.111	159.373
745	100.337	159.373
746	102.341	159.373
747	101.82	163.156
748	103.347	163.156
749	101.838	163.156
750	101.974	163.156
751	103.635	163.156
752	101.988	163.156
753	101.857	163.156
754	101.954	163.156
755	105.22	163.156
756	104.763	163.156
757	104.844	163.156
758	104.027	163.156
759	103.816	163.156
760	106.057	163.156
761	106.298	163.156
762	105.617	163.156
763	104.653	163.156
764	103.922	163.156
765	106.08	163.156
766	108.228	163.156
767	106.31	163.156
768	106.783	163.156
769	107.395	163.156
770	106.205	163.156
771	106.653	163.156
772	107.122	163.156
773	107.694	163.156
774	107.274	163.156
775	107.996	163.156
776	108.134	163.156
777	107.826	163.156
778	107.723	163.156
779	107.007	163.156
780	108.029	163.156
781	107.273	163.156
782	106.775	155.419
783	109.136	155.419
784	106.518	155.419
785	108.521	155.419
786	109.446	155.419
787	109.612	155.419
788	110.608	155.419
789	110.588	155.419
790	111.427	155.419
791	110.854	155.419
792	112.108	155.419
793	111.826	155.419
794	110.499	155.419
795	110.706	155.419
796	110.654	155.419
797	112.157	155.419
798	111.989	155.419
799	112.168	155.419
800	110.912	155.419
801	111.555	155.419
802	111.119	155.419
803	111.554	155.419
804	111.689	155.419
805	111.032	155.419
806	113.658	155.419
807	114.529	155.419
808	112.603	155.419
809	114.163	155.419
810	112.778	155.419
811	112.887	155.419
812	113.501	155.419
813	112.625	155.419
814	114.687	155.419
815	112.664	155.419
816	113.059	155.419
817	114.37	155.419
818	112.2	145.067
819	113.712	145.067
820	113.688	145.067
821	113.552	145.067
822	113.781	145.067
823	113.341	145.067
824	116.823	145.067
825	115.854	145.067
826	117.275	145.067
827	116.276	145.067
828	119.105	145.067
829	118.43	145.067
830	118.895	145.067
831	117.989	145.067
832	118.927	145.067
833	118.003	145.067
834	118.328	145.067
835	118.117	145.067
836	119.26	145.067
837	118.849	145.067
838	118.253	145.067
839	118.633	145.067
840	118.172	145.067
841	119.034	145.067
842	118.359	145.067
843	118.834	145.067
844	118.693	145.067
845	118.685	145.067
846	118.654	145.067
847	117.993	145.067
848	118.776	145.067
849	118.92	145.067
850	117.583	145.067
851	119.867	145.067
852	120.902	145.067
853	120.996	145.067
854	123.05	143.039
855	123.919	143.039
856	123.896	143.039
857	123.333	143.039
858	123.274	143.039
859	123.422	143.039
860	123.035	143.039
861	124.847	143.039
862	123.576	143.039
863	124.875	143.039
864	126.227	143.039
865	125.107	143.039
866	125.786	143.039
867	125.756	143.039
869	123.3	143.039
870	123.326	143.039
871	123.417	143.039
872	123.84	143.039
873	122.626	143.039
874	123.092	143.039
875	125.995	143.039
876	125.834	143.039
877	126.269	143.039
878	126.329	143.039
879	129.265	143.039
881	124.708	143.039
882	125.365	143.039
883	124.554	143.039
884	123.64	143.039
885	125.438	143.039
886	124.692	143.039
887	124.163	143.039
888	123.616	143.039
889	123.609	146.996
890	123.913	146.996
891	124.469	146.996
892	123.965	146.996
893	123.524	146.996
894	122.867	146.996
895	124.319	146.996
896	123.805	146.996
898	121.281	146.996
899	120.527	146.996
900	121.887	146.996
901	123.563	146.996
902	121.617	146.996
903	122.24	146.996
904	122.725	146.996
905	121.339	146.996
906	121.223	146.996
907	121.57	146.996
908	122.61	146.996
909	122.012	146.996
910	121.641	146.996
911	121.333	146.996
912	122.272	146.996
913	121.846	146.996
914	121.857	146.996
915	122.499	146.996
916	97.3229	154.018
917	97.4378	154.018
918	98.4992	154.018
919	97.9906	154.018
920	100.931	154.018
921	99.5268	154.018
922	100.896	154.018
923	100.769	154.018
924	104.056	154.018
925	105.401	154.018
926	104.909	154.018
927	105.485	154.018
928	104.192	154.018
929	104.39	154.018
930	105.276	154.018
931	105.671	154.018
932	105.942	154.018
933	104.126	154.018
934	105.153	154.018
935	106.339	154.018
936	106.533	154.018
937	107.975	154.018
938	106.843	154.018
939	106.378	154.018
940	108.003	154.018
941	105.806	154.018
942	106.696	154.018
943	106.302	154.018
944	107.212	156.268
945	101.38	156.268
946	100.125	156.268
947	105.248	156.268
948	104.45	156.268
949	105.039	156.268
950	103.845	156.268
951	107.116	156.268
952	107.287	156.268
953	103.466	156.268
954	97.6098	156.268
955	98.1441	156.268
956	98.8043	156.268
957	99.7159	156.268
958	99.968	156.268
959	99.001	156.268
960	99.6892	156.268
961	99.694	156.268
962	98.7244	156.268
963	100.893	156.268
964	99.5707	156.268
965	101.009	156.268
966	101.042	156.268
967	99.297	156.268
968	102.549	156.268
969	102.026	156.268
970	102.136	156.268
971	101.94	156.268
972	103.427	156.268
973	103.625	156.268
974	102.239	156.268
975	102.571	156.268
976	101.845	152.353
977	101.973	152.353
978	102.433	152.353
979	103.355	152.353
