segno	rttvar	srtt	rto
7492	16.7177	103.075	169.946
7516	14.7794	101.954	161.072
7539	11.6955	101.649	148.431
7561	8.9589	101.743	137.578
7582	7.99712	102.382	134.37
7603	9.12208	103.944	140.432
7627	10.081	105.563	145.888
7653	11.7032	107.635	154.447
7680	13.0007	109.746	161.749
7708	14.616	112.179	170.643
7737	14.6489	114.022	172.618
7768	20.6582	109.187	191.82
7787	21.9033	105.982	193.595
7810	21.0477	103.672	187.862
7835	18.9129	102.108	177.76
7858	15.0316	101.685	161.811
7881	11.3359	101.716	147.059
7902	9.55244	102.241	140.451
7921	9.75762	103.538	142.568
7939	11.4706	105.614	151.497
7963	11.843	107.234	154.606
7986	13.412	109.499	163.147
8012	14.3479	111.643	169.035
8040	14.6866	113.606	172.353
8064	13.851	112.188	167.592
8080	11.1567	111.804	156.431
8096	8.92892	112.085	147.8
8113	8.61708	113.045	147.513
8130	8.74986	114.188	149.188
8150	9.88838	115.851	155.405
8171	9.99097	117.139	157.102
8196	16.4246	112.673	178.371
8214	20.747	108.459	191.447
8237	20.8759	105.801	189.304
8258	18.6453	104.307	178.888
8276	16.8032	102.897	170.11
8295	13.4604	102.468	156.309
8314	11.4662	103.154	149.018
8334	10.8252	104.266	147.567
8355	10.5162	105.465	147.53
8377	11.6489	107.346	153.941
8400	13.5036	109.729	163.744
8424	14.2609	111.796	168.839
8447	12.9106	110.688	162.331
8474	17.5549	106.752	176.972
8500	18.6749	103.998	178.698
8524	17.5245	102.239	172.337
8544	13.4564	102.082	155.908
8564	10.1662	102.119	142.784
8585	8.86059	102.737	138.18
8607	9.2649	104.047	141.107
8630	9.7035	105.424	144.238
8654	11.2185	107.395	152.269
8679	12.579	109.477	159.794
8705	13.909	111.715	167.351
8731	12.9925	110.434	162.404
8745	10.275	110.169	151.269
8760	8.90933	110.771	146.408
8776	9.0165	111.938	148.004
8794	9.47366	113.294	151.188
8813	10.319	114.9	156.177
8833	10.9643	116.513	160.37
8865	15.4861	112.882	174.826
8884	20.1658	108.606	189.269
8907	20.8149	105.761	189.02
8926	19.2789	103.927	181.043
8944	16.006	103.153	167.177
8962	12.4881	103.395	153.348
8980	10.1436	103.784	144.358
8997	9.85521	104.908	144.329
9016	10.4482	106.436	148.229
9037	11.5876	108.312	154.662
9059	13.1557	110.544	163.167
9082	13.8359	112.529	167.872
9105	12.5736	111.431	161.725
9130	18.688	106.802	181.554
9154	19.7427	103.938	182.909
9177	18.1294	102.277	174.795
9196	15.1979	101.477	162.268
9216	11.8701	101.241	148.721
9236	9.98898	101.784	141.74
9257	9.05977	102.568	138.807
9278	9.39047	103.866	141.428
9301	10.9349	105.812	149.552
9325	11.4644	107.444	153.301
9350	13.8059	110.047	165.271
9376	14.1993	111.97	168.767
9401	13.581	110.504	164.828
9427	17.7477	106.723	177.714
9446	18.6821	104.037	178.766
9466	17.1172	102.485	170.953
9489	14.1251	101.841	158.341
9512	11.1268	101.574	146.082
9540	11.2205	100.137	145.019
9569	14.1522	97.2683	153.877
9605	18.8624	93.1442	168.594
9643	21.1988	89.6182	174.413
9678	21.2607	86.9374	171.98
9715	20.1222	84.849	165.338
9753	18.4989	83.1454	157.141
9790	17.1591	81.5029	150.14
9825	14.3162	80.7795	138.044
9860	11.3783	80.4589	125.972
9895	9.80588	79.8229	119.046
9930	7.94516	80.1182	111.899
9965	6.92107	80.5993	108.284
10000	6.76496	81.3864	108.446
10036	6.93691	82.318	110.066
10072	7.49583	83.4646	113.448
10109	7.83032	84.5688	115.89
10146	8.35625	85.8106	119.236
10184	8.53843	86.9462	121.1
10222	8.75114	88.1198	123.124
