segno	rtt	rto
715	167.822	234.734
716	168.374	234.734
717	168.451	234.734
718	169.607	234.734
719	168.316	234.734
720	167.724	234.734
721	168.418	234.734
722	168.664	234.734
723	166.582	234.734
724	166.751	234.734
725	167.994	234.734
726	170.581	234.734
727	170.665	234.734
728	169.982	234.734
729	168.61	234.734
730	170.343	234.734
731	170.573	234.734
732	170.684	234.734
733	171.266	234.734
734	168.524	234.734
735	170.929	234.734
736	172.249	234.734
737	169.195	234.734
738	171.29	234.734
739	169.326	234.734
740	169.363	234.734
741	169.711	234.734
742	167.824	234.734
743	170.115	234.734
744	168.709	234.734
745	171.005	234.734
746	172.623	245.385
747	171.83	245.385
748	172.591	245.385
749	172.405	245.385
750	171.441	245.385
751	172.867	245.385
752	171.94	245.385
753	175.047	245.385
754	171.416	245.385
755	171.24	245.385
756	170.532	245.385
757	171.878	245.385
758	172.275	245.385
759	172.945	245.385
760	171.686	245.385
761	173.013	245.385
762	173.041	245.385
763	172.229	245.385
764	171.972	245.385
765	173.356	245.385
766	174.34	245.385
767	175.21	245.385
768	174.976	245.385
769	175.246	245.385
770	174.816	245.385
771	174.621	245.385
772	173.897	245.385
773	176.03	245.385
774	174.655	245.385
775	173.218	245.385
776	174.776	245.385
777	173.571	245.385
778	175.152	245.385
779	174.854	245.385
780	176.453	245.385
781	174.171	245.385
782	174.451	245.385
783	175.25	245.385
784	173.224	245.385
785	176.095	254.012
786	177.937	254.012
787	175.487	254.012
788	177.759	254.012
789	176.24	254.012
790	176.043	254.012
791	178.006	254.012
792	174.607	254.012
793	176.842	254.012
794	178.11	254.012
795	176.452	254.012
796	177.101	254.012
797	176.742	254.012
798	176.229	254.012
799	177.717	254.012
800	176.798	254.012
801	176.718	254.012
802	177.063	254.012
803	176.746	254.012
804	177.519	254.012
805	180.216	254.012
806	179.506	254.012
807	178.635	254.012
808	180.886	254.012
809	178.755	254.012
810	178.517	254.012
811	179.873	254.012
812	179.187	254.012
813	178.576	254.012
814	178.958	254.012
815	178.184	254.012
816	178.732	254.012
817	179.202	254.012
818	179.333	254.012
819	179.181	254.012
820	178.087	254.012
821	179.385	254.012
822	179.075	254.012
823	180.067	254.012
824	179.489	254.012
825	182.062	261.037
826	182.058	261.037
827	183.66	261.037
828	181.079	261.037
829	183.29	261.037
830	182.012	261.037
831	181.245	261.037
832	182.699	261.037
833	181.919	261.037
834	181.694	261.037
835	181.872	261.037
836	182.623	261.037
837	182.559	261.037
838	182.013	261.037
839	183.479	261.037
840	183.108	261.037
841	181.464	261.037
842	182.577	261.037
843	182.742	261.037
844	184.821	261.037
845	185.864	261.037
846	184.877	261.037
847	184.285	261.037
848	184.232	261.037
849	183.76	261.037
850	186.021	261.037
851	184.801	261.037
852	183.958	261.037
853	184.206	261.037
854	184.667	261.037
855	185.128	261.037
856	184.665	261.037
857	185.934	261.037
858	184.3	261.037
859	184.839	261.037
860	184.821	261.037
861	184.584	261.037
862	185.373	261.037
863	184.439	261.037
864	183.642	261.037
865	186.016	261.037
866	188.606	269.705
867	187.398	269.705
868	185.604	269.705
869	186.817	269.705
870	189.33	269.705
871	188.557	269.705
872	187.694	269.705
873	186.848	269.705
874	186.035	269.705
875	186.341	269.705
876	189.255	269.705
877	186.951	269.705
878	185.812	269.705
879	187.331	269.705
880	184.459	269.705
881	185.459	269.705
882	186.718	269.705
883	185.802	269.705
884	185.729	269.705
885	183.516	269.705
886	184.603	269.705
887	187.87	269.705
888	187.337	269.705
889	189.237	269.705
890	189.42	269.705
891	189.296	269.705
892	188.719	269.705
893	188.215	269.705
894	188.553	269.705
895	189.888	269.705
896	189.17	269.705
897	187.898	269.705
898	189.07	269.705
899	186.991	269.705
900	188.753	269.705
901	189.946	269.705
902	188.376	269.705
903	189.573	269.705
904	187.388	269.705
905	188.677	269.705
906	191.395	269.705
907	187.901	269.705
908	188.941	280.016
909	190.342	280.016
910	190.705	280.016
911	190.659	280.016
912	189.468	280.016
913	191.81	280.016
914	191.062	280.016
915	191.411	280.016
916	192.046	280.016
917	190.793	280.016
918	191.729	280.016
919	192.036	280.016
920	192.227	280.016
921	191.065	280.016
922	190.749	280.016
923	191.049	280.016
924	191.842	280.016
925	191.766	280.016
926	192.327	280.016
927	191.843	280.016
928	191.779	280.016
929	190.865	280.016
930	192.949	280.016
931	194.696	280.016
932	192.896	280.016
933	193.013	280.016
934	193.534	280.016
935	192.899	280.016
936	193.928	280.016
937	193.678	280.016
938	192.427	280.016
939	193.156	280.016
940	194.791	280.016
941	193.375	280.016
942	193.53	280.016
943	195.14	280.016
944	192.204	280.016
945	194.523	280.016
946	193.263	280.016
947	193.572	280.016
948	194.007	280.016
949	190.269	280.016
950	193.107	280.016
951	196.169	284.303
952	195.337	284.303
953	195.51	284.303
954	196.61	284.303
955	193.533	284.303
956	193.456	284.303
957	197.215	284.303
958	194.839	284.303
959	195.822	284.303
960	196.517	284.303
961	193.312	284.303
962	197.294	284.303
963	197.078	284.303
964	195.515	284.303
965	196.2	284.303
966	196.296	284.303
967	195.555	284.303
968	197.533	284.303
969	195.819	284.303
970	195.428	284.303
971	194.96	284.303
972	195.623	284.303
973	196.946	284.303
974	198.148	284.303
975	196.781	284.303
976	198.775	284.303
977	197.65	284.303
978	196.562	284.303
979	197.879	284.303
980	198.357	284.303
981	198.094	284.303
982	197.734	284.303
983	200.755	284.303
984	198.066	284.303
985	198.161	284.303
986	198.468	284.303
987	197.171	284.303
988	197.445	284.303
989	199.103	284.303
990	197.664	284.303
991	198.71	284.303
992	197.865	284.303
993	198.858	284.303
994	197.311	284.303
995	200.417	292.268
996	200.165	292.268
997	200.283	292.268
998	201.116	292.268
999	200.477	292.268
1000	201.53	292.268
1001	198.272	292.268
1002	200.658	292.268
1003	200.814	292.268
1004	200.036	292.268
1005	202.405	292.268
1006	197.411	292.268
1007	197.81	292.268
1008	201.222	292.268
1009	201.082	292.268
1010	200.956	292.268
1011	199.901	292.268
1012	197.855	292.268
1013	201.264	292.268
1014	200.002	292.268
1015	201.623	292.268
1016	199.901	292.268
1017	199.302	292.268
1018	199.381	292.268
1019	202.572	292.268
1020	206.043	292.268
1021	202.962	292.268
1022	203.576	292.268
1023	203.84	292.268
1024	201.788	292.268
1025	203.356	292.268
1026	203.496	292.268
1027	202.696	292.268
1028	200.097	292.268
1029	201.443	292.268
1030	203.353	292.268
1031	202.121	292.268
1032	202.534	292.268
1033	203.913	292.268
1034	200.074	292.268
1035	203.151	292.268
1036	202.239	292.268
1037	202.105	292.268
1038	202.692	292.268
1039	207.114	292.268
1040	203.929	299.271
1041	205.523	299.271
1042	204.959	299.271
1043	203.891	299.271
1044	205.058	299.271
1045	202.903	299.271
1046	205.453	299.271
1047	205.428	299.271
1048	205.22	299.271
1049	205.14	299.271
1050	202.375	299.271
1051	205.548	299.271
1052	210.58	299.271
1053	207.308	299.271
1054	208.2	299.271
1055	205.832	299.271
1056	204.841	299.271
1057	210.577	299.271
1058	212.95	299.271
1059	214.015	299.271
1060	210.847	299.271
1061	209.513	299.271
1062	206.821	299.271
1063	205.959	299.271
1064	210.891	299.271
1065	211.201	299.271
1066	209.091	299.271
1067	216.613	299.271
1068	215.033	299.271
1069	212.386	299.271
1070	211.322	299.271
1071	207.951	299.271
1072	210.709	299.271
1073	210.553	299.271
1074	211.374	299.271
1075	210.351	299.271
1076	208.848	299.271
1077	208.285	299.271
1078	207.029	299.271
1079	206.258	299.271
1080	208.188	299.271
1081	207.959	299.271
1082	208.136	299.271
1083	207.579	299.271
1084	207.388	299.271
1085	206.71	299.271
1086	205.232	304.729
1087	209.668	304.729
1088	211.595	304.729
1089	209.531	304.729
1090	209.021	304.729
1091	210.013	304.729
1092	208.963	304.729
1093	211.091	304.729
1094	208.608	304.729
1095	208.957	304.729
1096	209.87	304.729
1097	209.481	304.729
1098	207.54	304.729
1099	206.986	304.729
1100	206.8	304.729
1101	207.922	304.729
1102	209.69	304.729
1103	205.023	304.729
1104	200.917	304.729
1105	201.365	304.729
1106	202.949	304.729
1107	209.936	304.729
1108	210.869	304.729
1109	210.551	304.729
1110	203.685	304.729
1111	205.951	304.729
1112	208.174	304.729
1113	209.497	304.729
