segno	rttvar	srtt	rto
1688	5.36449	202.084	223.542
1698	4.72074	202.432	221.315
1707	4.46955	202.897	220.775
1715	4.01152	203.226	219.273
1724	3.47106	203.458	217.342
1733	3.58168	203.947	218.274
1736	4.14493	204.676	221.256
1738	4.31509	205.279	222.54
1741	4.38286	205.853	223.384
1747	4.26431	206.341	223.399
1756	4.66218	207.073	225.722
1766	4.28333	207.467	224.6
1774	4.38403	208.052	225.588
1784	3.76858	208.293	223.367
1793	3.88275	208.821	224.352
1795	3.91012	209.32	224.96
1802	10.8671	205.353	248.821
1809	14.39	202.233	259.793
1819	17.0004	199.129	267.131
1828	18.5883	196.21	270.563
1835	18.3585	194.001	267.435
1844	17.4119	192.18	261.827
1853	15.5354	190.941	253.083
1855	14.0632	189.736	245.988
1861	11.9807	189.019	236.942
1867	10.5598	188.232	230.471
1875	8.68046	187.851	222.573
1885	8.15321	187.03	219.643
1893	7.17217	186.501	215.19
1902	6.78659	185.798	212.944
1910	5.33591	185.675	207.018
1915	4.28699	185.817	202.965
1919	3.25729	185.838	198.867
1923	2.51351	185.874	195.928
1931	2.03835	185.797	193.95
1939	1.58842	185.767	192.121
1947	1.65691	186	192.628
1955	1.54087	186.149	192.312
1964	1.58726	186.365	192.714
1973	1.37745	186.458	191.968
1977	2.18258	187.033	195.763
1981	2.85753	187.643	199.073
1985	4.01281	188.578	204.629
1991	6.14817	190.147	214.74
2001	7.70498	191.694	222.514
2013	6.83925	192.225	219.582
2021	6.71975	193.02	219.899
2033	5.6063	192.737	215.162
2040	4.70412	192.487	211.303
2043	4.78441	193.115	212.253
2048	3.60865	193.125	207.56
2056	3.2804	192.838	205.96
2066	3.11694	192.51	204.978
2071	19.0515	184.153	260.359
2073	28.9985	176.798	292.792
2078	33.851	170.747	306.151
2083	36.0105	165.436	309.478
2090	36.1359	160.872	305.415
2098	35.2358	156.805	297.748
2104	33.2395	153.399	286.357
2106	30.6518	150.538	273.145
2109	27.9901	148.037	259.997
2115	24.6599	146.203	244.843
2122	21.8252	144.538	231.839
2128	19.1247	143.16	219.659
2135	16.8632	141.9	209.353
2138	15.1301	140.659	201.179
2139	12.717	139.974	190.842
2142	10.9538	139.266	183.081
2145	9.04308	138.852	175.025
2150	7.26082	138.613	167.656
2156	5.46841	138.625	160.498
2162	4.25604	138.547	155.571
2169	3.37485	138.456	151.955
2173	2.83983	138.301	149.661
2174	2.36062	138.417	147.859
2177	2.02873	138.546	146.661
2180	1.7439	138.657	145.633
2186	2.28378	139.145	148.28
2193	2.44304	139.51	149.282
2199	2.89304	140.041	151.613
2206	2.56059	140.236	150.478
2209	2.45837	140.505	150.338
2210	3.18022	141.173	153.894
2213	3.40403	141.683	155.299
2216	3.57249	142.192	156.482
2222	4.21611	142.961	159.825
2226	4.09724	143.428	159.817
2232	4.20641	143.995	160.821
2239	3.70452	144.27	159.088
2244	3.5736	144.667	158.962
2246	3.33761	144.996	158.347
2247	3.37148	145.43	158.916
2250	3.27672	145.804	158.911
2253	3.21592	146.184	159.047
2259	4.39529	147.175	164.756
2264	5.03377	148.044	168.179
2272	4.91378	148.613	168.268
2279	4.57907	149.06	167.376
2284	4.29411	149.49	166.666
2285	4.3177	150.038	167.309
2288	4.57358	150.706	169
2292	4.61944	151.301	169.778
2298	4.49859	151.818	169.812
2302	4.56939	152.415	170.693
2309	4.28512	152.844	169.985
2315	4.63998	153.558	172.117
2321	4.56977	154.102	172.381
2323	3.6335	154.205	168.739
2324	3.67696	154.681	169.389
2327	4.09099	155.348	171.712
2332	3.7768	155.702	170.81
2339	4.29865	156.435	173.63
2344	4.35894	157.003	174.439
2351	4.34209	157.539	174.908
2358	3.92339	157.873	173.566
2363	3.75993	158.281	173.321
2364	4.05662	158.9	175.126
2367	4.17917	159.468	176.185
2372	3.99891	159.9	175.896
2379	4.19279	160.497	177.268
2384	4.32352	161.087	178.381
2392	4.58806	161.759	180.112
2399	4.91335	162.495	182.149
2403	6.83073	164.068	191.391
2405	6.20941	164.611	189.449
2408	5.61727	165.092	187.561
2413	4.71981	165.345	184.224
2420	4.96424	166.057	185.914
2425	4.89247	166.642	186.212
2433	4.55009	167.082	185.283
2440	5.27323	168.013	189.105
2445	4.02867	167.976	184.09
2447	4.24302	168.586	185.559
2450	4.81397	169.402	188.658
2456	4.28566	169.74	186.883
2464	4.41103	170.338	187.982
2468	4.87266	171.12	190.611
2476	4.77154	171.679	190.765
2483	4.54802	172.164	190.356
2488	4.05628	172.486	188.711
2490	4.07016	173	189.281
2494	3.20876	172.922	185.757
2499	4.18757	173.813	190.563
2508	4.70083	174.593	193.396
2513	4.88533	175.273	194.814
2520	5.18317	176.032	196.765
2528	4.30433	176.241	193.458
2532	4.11812	176.686	193.158
2534	4.39915	177.341	194.938
2538	5.29415	178.338	199.515
2544	4.78322	178.745	197.877
2552	5.62872	179.765	202.28
2558	5.67817	180.494	203.206
2567	5.40059	181.065	202.667
2574	5.34197	181.71	203.078
2579	5.53969	182.477	204.636
2583	4.23494	182.517	199.457
2588	4.45156	183.155	200.961
2597	4.30987	183.64	200.88
2602	4.37196	184.21	201.698
2610	4.47591	184.809	202.712
2618	4.06066	185.16	201.403
2623	4.36105	185.818	203.262
2625	4.58226	186.474	204.803
2629	4.7471	187.129	206.118
2635	4.54885	187.623	205.819
2644	4.79349	188.314	207.488
2649	4.96889	189.001	208.877
2657	4.98654	189.631	209.577
2665	5.20644	190.364	211.19
2670	4.29378	190.559	207.734
2672	4.9632	191.43	211.283
2677	4.97639	192.057	211.963
2684	4.66088	192.522	211.165
2692	5.2722	193.41	214.499
2698	4.21985	193.543	210.422
2707	4.20262	194.062	210.872
2715	3.88971	194.43	209.989
2720	4.24761	195.096	212.086
2724	4.71537	195.86	214.722
2731	5.04451	196.614	216.792
2740	4.62477	197.035	215.534
2746	4.62952	197.616	216.134
2755	5.37474	198.567	220.066
2764	4.70225	198.903	217.711
2769	4.45879	199.369	217.204
2773	4.99701	200.195	220.183
2780	4.95167	200.797	220.604
2789	4.69381	201.287	220.062
2796	5.33625	202.195	223.54
2805	4.93168	202.66	222.386
2813	5.17803	203.399	224.111
2818	4.85352	203.884	223.298
2819	5.35967	204.744	226.183
2824	5.18675	205.328	226.075
2831	4.54894	205.657	223.853
2840	4.04555	205.974	222.156
2847	4.10647	206.51	222.936
2855	4.92107	207.431	227.115
2864	4.85176	208.011	227.418
2870	4.54982	208.467	226.666
2874	5.0626	209.292	229.542
2880	5.26119	210.024	231.069
2889	4.84281	210.472	229.844
2898	6.17786	211.745	236.457
2907	5.5308	212.194	234.317
2914	7.11271	213.676	242.127
2922	6.82107	214.42	241.704
2926	6.57893	215.151	241.467
2933	5.96879	215.668	239.544
2942	5.78005	216.32	239.44
2951	5.508	216.907	238.939
2959	5.94438	217.813	241.591
2969	6.29795	218.733	243.925
2975	5.87728	219.31	242.819
2980	4.86607	219.539	239.003
2988	5.27408	220.351	241.448
2999	5.1619	220.955	241.602
3007	5.25489	221.646	242.666
3017	5.35252	222.352	243.762
3024	6.05654	223.373	247.599
3029	6.41653	224.31	249.976
3034	5.81515	224.811	248.072
3040	6.35604	225.809	251.233
3050	6.47623	226.663	252.568
3060	5.58466	227.027	249.366
3069	5.38332	227.625	249.158
3078	4.89208	228.052	247.62
3084	4.70601	228.57	247.394
3089	4.06165	228.836	245.083
3096	3.62862	229.128	243.642
3105	5.02875	230.281	250.396
3117	5.26149	231.026	252.072
3126	5.57295	231.84	254.131
3135	5.70976	232.605	255.444
3140	6.00131	233.464	257.469
3146	5.03972	233.733	253.892
3154	4.56663	234.127	252.393
3164	3.73654	234.283	249.229
3173	4.82906	235.296	254.612
3182	5.46479	236.218	258.077
3192	4.28572	236.311	253.454
3197	4.13644	236.772	253.318
3202	4.49121	237.467	255.431
3210	4.67966	238.122	256.841
3220	4.49532	238.615	256.596
3230	4.80417	239.331	258.548
3237	5.84526	240.452	263.833
3248	5.84332	241.182	264.555
3253	6.10466	242.043	266.462
3255	5.37431	242.441	263.938
3260	5.18105	243.016	263.74
3268	5.13303	243.64	264.172
3278	5.18391	244.307	265.043
3289	5.40725	245.067	266.696
3298	5.3603	245.719	267.16
3308	4.96308	246.19	266.043
3314	5.15638	246.908	267.533
3319	5.51543	247.732	269.793
3327	5.21816	248.272	269.145
3338	4.64752	248.639	267.229
3348	5.61178	249.702	272.15
3359	5.03627	250.116	270.261
3368	5.26746	250.861	271.931
3374	5.45301	251.612	273.424
3379	5.03594	252.086	272.229
3387	4.75037	252.572	271.574
3398	4.75336	253.168	272.181
3409	4.07283	253.421	269.713
3418	4.63997	254.214	272.774
3429	4.32927	254.639	271.956
3434	4.72685	255.379	274.286
3435	4.98882	256.101	276.056
3440	5.05817	256.759	276.992
3449	4.77669	257.25	276.357
3460	4.41676	257.667	275.335
3469	5.21956	258.621	279.499
3476	6.89383	260.111	287.686
3488	7.55333	261.302	291.515
3496	5.70398	261.283	284.098
3497	5.15711	261.722	282.351
3502	4.66114	262.119	280.763
3511	4.38584	262.564	280.107
3522	4.4126	263.125	280.776
3533	4.33365	263.637	280.972
3542	34.4435	248.041	385.815
3553	53.0543	234.43	446.647
3563	63.2473	222.702	475.691
3571	67.203	212.818	481.63
3575	68.0393	203.999	476.156
3585	66.6705	196.179	462.861
3593	62.8397	189.76	441.119
3601	58.4699	184.09	417.97
3605	52.9768	179.528	391.435
3609	47.8895	175.45	367.008
3617	42.5814	172.118	342.443
3626	37.7408	169.215	320.178
3633	33.1789	166.779	299.494
3637	29.3863	164.528	282.073
3643	24.8721	163.111	262.6
3644	21.6211	161.628	248.112
3652	18.8914	160.29	235.856
3659	16.2872	159.231	224.38
3666	14.1061	158.285	214.71
3672	11.1771	157.987	202.695
3675	8.6117	157.872	192.319
3680	7.05642	157.573	185.799
3687	5.64453	157.397	179.975
3694	4.30197	157.363	174.571
3700	3.70599	157.603	172.427
3708	3.14797	157.419	170.01
3710	2.55947	157.518	167.756
3715	2.76345	157.94	168.993
3717	5.1663	159.487	180.152
3725	6.60375	160.851	187.266
3732	7.38998	162.07	191.63
3743	5.775	162.186	185.286
3748	4.81796	162.429	181.701
3753	4.57315	162.909	181.202
3755	5.03552	162.106	182.248
3762	4.43881	162.437	180.193
3769	3.93234	162.739	178.468
3776	4.0488	163.289	179.484
3784	4.06078	163.801	180.044
3787	4.1548	164.355	180.975
3791	4.57188	165.083	183.371
3794	4.66963	165.704	184.382
3802	4.19971	166.052	182.851
3809	3.99022	166.473	182.434
3815	4.65836	167.305	185.939
3823	5.17672	168.147	188.854
3827	4.71057	168.561	187.403
3830	5.63545	169.612	192.154
3834	5.74946	170.374	193.372
3842	6.21413	171.325	196.181
3851	6.52786	172.258	198.37
3860	5.25854	172.44	193.474
3868	4.87502	172.905	192.405
3871	5.10165	173.628	194.034
3875	5.15879	174.294	194.929
3882	5.30002	175.01	196.21
3890	5.39867	175.721	197.316
3898	5.13911	176.267	196.823
3906	5.20821	176.943	197.776
3910	4.7734	177.377	196.471
3913	5.35058	178.262	199.665
3917	5.47988	178.996	200.915
3925	5.29309	179.587	200.76
3933	5.15389	180.179	200.795
3940	5.00473	180.749	200.768
3949	5.55143	181.648	203.854
3953	5.60621	182.369	204.794
3956	5.7219	183.128	206.016
3960	5.82846	183.896	207.21
3969	5.36466	184.393	205.852
3977	5.06073	184.912	205.155
3985	5.10064	185.564	205.967
3994	5.26869	186.286	207.361
3998	5.24425	186.932	207.909
4000	5.53405	187.733	209.869
4004	5.79031	188.553	211.714
4013	5.47382	189.118	211.013
4021	5.69634	189.914	212.699
4030	5.96171	190.758	214.605
4039	5.80699	191.426	214.654
4044	5.65817	192.078	214.71
4046	5.72506	192.818	215.719
4049	5.24192	193.292	214.26
4057	5.16084	193.907	214.551
4065	5.02399	194.484	214.58
4073	4.95631	195.078	214.903
4082	4.86631	195.653	215.118
4088	4.44902	196.052	213.848
4091	4.53921	196.653	214.81
4095	5.26305	197.583	218.635
4104	4.89372	198.056	217.631
4112	5.93842	199.19	222.944
4123	6.18186	200.054	224.781
4133	5.82738	200.65	223.959
4136	5.36011	201.144	222.585
4138	4.96323	201.616	221.469
4142	3.75122	201.601	216.606
4149	4.21989	202.305	219.184
4157	4.45173	202.948	220.755
4166	3.99971	203.279	219.277
4172	5.99909	204.778	228.775
4182	6.26994	205.664	230.743
4185	5.90627	206.265	229.891
4187	6.1595	207.13	231.768
4190	6.22489	207.933	232.833
4198	6.26962	208.733	233.812
4207	5.64359	209.204	231.779
4217	5.5428	209.859	232.03
4228	4.88836	210.225	229.778
4233	5.34329	211.063	232.437
4235	4.68349	211.401	230.135
4238	5.04289	212.166	232.338
4239	5.16136	212.856	233.502
4246	5.47776	213.659	235.571
4255	5.10314	214.157	234.569
4264	5.04669	214.767	234.953
4274	4.99023	215.369	235.33
4282	5.98757	216.492	240.442
4285	5.03157	216.762	236.888
4288	4.51989	217.135	235.215
4289	5.14977	218.015	238.614
4298	4.74336	218.456	237.429
4307	4.29249	218.823	235.993
4317	3.68891	219.058	233.813
4327	3.92129	219.635	235.32
4333	3.41606	219.873	233.537
4336	4.62387	220.904	239.399
4339	5.01886	221.679	241.755
4340	4.4708	222.032	239.916
4348	4.96402	222.838	242.694
4358	4.76186	223.357	242.405
4369	4.27452	223.709	240.807
4380	4.59391	224.403	242.779
4385	4.58894	224.975	243.33
4388	3.95333	225.23	241.044
4391	4.17006	225.833	242.513
4392	4.16734	226.353	243.022
4400	3.7906	226.685	241.848
4409	4.01997	227.274	243.354
4420	4.11112	227.822	244.266
4431	4.59973	228.58	246.979
4438	4.60222	229.156	247.565
4441	4.37981	229.62	247.14
4443	4.77618	230.366	249.471
4445	4.72425	230.937	249.834
4454	4.76137	231.546	250.592
4463	4.45767	231.99	249.82
4473	4.10899	232.372	248.808
4484	4.80711	233.235	252.464
4492	4.52349	233.694	251.788
4495	3.79472	233.895	249.074
4496	4.00825	234.476	250.509
4499	4.61142	235.279	253.725
4508	4.63822	235.869	254.422
4518	4.68666	236.473	255.219
4528	4.5207	236.976	255.058
4539	4.61874	237.59	256.065
4547	4.79553	238.256	257.438
4550	4.77938	238.847	257.964
4551	5.17314	239.641	260.334
4554	5.42832	240.415	262.129
4563	5.4511	241.105	262.91
4573	5.133	241.628	262.16
4584	4.80172	242.104	261.311
4595	4.82563	242.716	262.018
4603	4.87427	243.343	262.84
4606	4.42801	243.73	261.442
4607	4.73062	244.434	263.357
4610	4.96068	245.141	264.983
4620	4.94273	245.752	265.523
4630	5.18568	246.491	267.234
4641	5.05589	247.074	267.298
4650	6.51226	248.435	274.484
4660	5.74488	248.865	271.844
4663	5.33285	249.377	270.708
4664	6.32674	250.541	275.848
4667	5.73265	251.034	273.965
4677	5.24598	251.508	272.492
4687	4.24004	251.66	268.621
4698	3.53868	251.84	265.994
4709	3.45229	252.239	266.048
4718	3.72159	252.805	267.691
4721	3.60925	253.214	267.651
4722	3.54636	253.634	267.819
4725	4.24317	254.426	271.398
4736	4.32031	254.994	272.276
4746	4.32474	255.537	272.836
4757	3.90911	255.87	271.506
4768	3.95509	256.381	272.201
4777	4.0998	256.948	273.347
4780	3.59905	257.21	271.606
4781	4.37476	258.048	275.547
4784	4.58718	258.701	277.049
4795	4.60934	259.285	277.723
4805	4.88848	260.001	279.555
4818	4.50786	260.422	278.453
4829	5.15285	261.308	281.919
4837	5.0464	261.899	282.084
4840	5.01178	262.512	282.559
4841	5.10234	263.184	283.593
4844	4.8737	263.707	283.202
4855	5.40628	264.583	286.208
4867	4.93114	265.021	284.746
4878	4.45903	265.401	283.237
4890	4.27682	265.868	282.975
4898	4.35714	266.442	283.871
4901	4.58719	267.102	285.451
4902	4.99059	267.877	287.84
4905	5.55293	268.782	290.994
4917	4.80194	269.101	288.309
4928	5.26873	269.934	291.009
4941	4.00654	269.907	285.933
4953	4.24123	270.525	287.49
4960	4.43002	271.15	288.87
4963	4.46672	271.722	289.589
4964	3.81976	271.957	287.236
4967	3.43617	272.242	285.987
4978	3.62241	272.765	287.255
4989	4.47523	273.644	291.545
5002	4.73313	274.332	293.265
5015	5.12398	275.12	295.615
5023	4.88283	275.639	295.171
5027	5.57181	276.594	298.882
5030	5.75281	277.381	300.393
5041	5.68856	278.068	300.823
5052	5.08839	278.479	298.833
5065	4.48646	278.814	296.76
5078	5.11213	279.688	300.136
5087	5.02395	280.283	300.379
5090	5.08334	280.941	301.274
5091	5.17609	281.622	302.327
5094	5.24842	282.306	303.299
5106	4.70751	282.691	301.521
5119	4.50223	283.177	301.186
5132	4.16629	283.572	300.237
5145	4.4654	284.242	302.104
5152	4.78641	284.961	304.106
5156	5.16582	285.749	306.412
5159	5.24081	286.432	307.395
5170	5.65955	287.296	309.935
5183	5.28596	287.817	308.961
5195	5.10999	288.39	308.83
5208	4.8823	288.915	308.444
5218	4.44011	289.304	307.064
5222	5.30357	290.291	311.505
5225	5.65939	291.132	313.769
5237	5.3775	291.698	313.208
5250	5.02624	292.195	312.3
5264	4.56608	292.593	310.857
5277	5.08087	293.421	313.744
5285	5.33689	294.184	315.532
5289	5.33941	294.852	316.21
5292	5.41315	295.557	317.209
5304	5.3482	296.201	317.594
5317	4.7303	296.561	315.482
5330	4.7231	297.148	316.041
5344	5.19662	297.975	318.762
5353	4.97648	298.515	318.421
5357	5.41117	299.354	320.999
5360	5.31887	299.985	321.26
5372	5.69006	300.835	323.595
5386	5.16378	301.283	321.938
5400	5.05136	301.872	322.078
5414	5.23802	302.597	323.549
5423	5.03623	303.151	323.296
5426	5.80454	304.165	327.383
5429	6.24903	305.112	330.109
5441	5.92225	305.73	329.419
